IP,SSH,SAMBA,RDP
200.10.1.1,0,0,0
200.10.1.7,1,0,0
200.10.1.36,0,1,0
200.10.1.52,0,1,0
200.10.1.59,0,1,1
200.10.1.68,0,0,1
200.10.1.69,0,0,1
200.10.1.71,1,1,0
200.10.1.78,0,1,1
200.10.1.86,1,1,1
200.10.1.105,1,0,0
200.10.1.131,1,0,0
200.10.1.133,1,0,0
200.10.1.134,1,0,0
200.10.1.135,1,0,0
200.10.1.140,1,0,0
200.10.1.141,1,0,0
200.10.1.192,0,1,1
200.10.1.201,1,0,0
200.10.1.215,0,0,0
200.10.1.217,0,0,0
200.10.1.222,0,0,0
200.10.1.223,0,0,0
200.10.1.225,0,0,0
200.10.1.230,0,0,0
200.10.1.231,1,1,0
200.10.1.232,1,0,0
200.10.1.233,1,1,1
200.10.1.234,1,1,1
200.10.1.235,1,0,0
200.10.1.236,1,1,1
200.10.1.250,1,1,1
200.10.1.252,0,0,0
